return,price_range,body_size,Volume,log_return,direction
-0.013607812972771938,315.6399999999994,186.63999999999942,443.356199,-0.013701247857584588,Red
-0.024091229278756232,440.5100000000002,325.9300000000003,383.697006,-0.02438616955955884,Red
0.009632659244111209,218.4300000000003,127.18000000000029,429.064572,0.009586560978227432,Green
0.00598412934181332,321.27000000000044,79.77000000000044,420.08703,0.005966295550931324,Green
0.012358038493544513,301.14000000000124,166.03000000000065,340.807329,0.012282301273106387,Green
-0.004128474058405381,172.5,56.210000000000946,404.229046,-0.004137019735945964,Red
0.017830711278528685,290.0,241.40999999999985,264.989684,0.01767360889552144,Green
-0.015214078374455707,263.52999999999884,209.64999999999964,292.188777,-0.015330999882696,Red
-0.005157708412245249,335.2399999999998,69.98999999999978,271.813553,-0.005171055302971497,Red
0.008668167410742427,210.88999999999942,117.02000000000044,213.095829,0.008630814546328833,Green
-0.004547388497652566,159.9400000000005,61.98999999999978,169.512196,-0.004557759320777903,Red
-0.025966256538716606,588.7600000000002,352.4400000000005,665.334353,-0.026309331728935566,Red
-0.0036412980993240393,243.77000000000044,48.13999999999942,260.492708,-0.0036479437627138767,Red
-0.010117832251588342,384.7099999999991,133.04999999999927,451.901126,-0.01016936541359034,Red
0.016283440169049947,495.0,211.6800000000003,692.467362,0.016152286793910352,Green
0.002695401467975783,209.6200000000008,35.61000000000058,427.071957,0.002691775387805495,Green
-0.017286932890465765,280.65999999999985,229.0,367.393566,-0.017438096551928947,Red
0.00030726686126901216,198.97999999999956,4.0,228.572028,0.0003072196644746605,Green
0.009773314155199829,316.28000000000065,127.1299999999992,244.366755,0.009725864231925757,Green
0.008022078416444674,184.03999999999905,105.3700000000008,252.004885,0.007990072600222796,Green
0.013402631819773447,249.96999999999935,177.20999999999913,412.026868,0.013313611076009507,Green
0.0061033357886983546,199.85000000000036,81.78000000000065,326.923135,0.006084785874130929,Green
-0.003185626665895994,148.7400000000016,42.98999999999978,303.301385,-0.003190711576479381,Red
-0.0055918735005841425,144.98999999999978,75.23999999999978,345.218495,-0.005607566554933632,Red
0.02748808861947551,467.84000000000015,367.85000000000036,466.596114,0.027117074736606017,Green
-0.01234424450870659,210.0,169.97999999999956,517.461925,-0.012421067564677405,Red
-0.006606704559897112,280.3299999999999,89.93000000000029,714.534781,-0.006628625435645606,Red
-0.012317755792762232,308.02000000000044,166.53999999999905,666.940106,-0.012394248138381773,Red
-0.01695924300085827,590.8199999999997,226.47000000000116,992.418927,-0.017104697843887306,Red
0.0028882560250071843,154.28999999999905,37.92000000000007,600.002711,0.0028840930275162344,Green
0.006761626648540386,297.15999999999985,89.02999999999884,722.310035,0.0067388693775910025,Green
0.006557750524853919,209.97999999999956,86.93000000000029,665.58438,0.0065363420223240555,Green
-0.0012680796911641431,137.40999999999985,16.920000000000073,745.643663,-0.001268884384564572,Red
0.008171344161007682,197.35999999999876,109.03000000000065,511.54277,0.008138139490198922,Green
0.007429420505200594,215.6800000000003,100.0,654.454591,0.007401958295667739,Green
-0.005638889912652489,171.95000000000073,76.5,684.54165,-0.005654848473028706,Red
-7.116382505553201e-05,139.54000000000087,0.9599999999991269,671.205943,-7.116635732070071e-05,Red
0.027870033745915103,404.59000000000015,375.9399999999987,1036.83633,0.027488732723289583,Green
-0.014464531065744995,264.8600000000006,200.5500000000011,705.180727,-0.01457016223614788,Red
0.002109622793295874,229.88999999999942,28.820000000001528,952.656508,0.002107400663818823,Green
-0.007304591227770303,257.8899999999994,100.0,1020.856756,-0.007331400387354908,Red
0.013236039144146446,296.64999999999964,180.01000000000022,817.501105,0.013149208137894127,Green
0.05728942318988138,994.5699999999997,790.0200000000004,1573.60355,0.05570848510267673,Green
0.01069365371303985,993.4899999999998,155.8799999999992,1678.312072,0.010636880978182205,Green
0.002785856171507555,450.3099999999995,40.97999999999956,1150.528492,0.0027819828661834745,Green
-0.003972612026303326,400.9899999999998,58.600000000000364,906.843821,-0.003980523810041986,Red
0.006799999999999941,339.9899999999998,99.95999999999913,858.185273,0.006776984279023669,Green
-0.008436503587507188,287.0799999999999,124.85999999999876,764.349881,-0.008472292313864357,Red
0.005754254594962604,266.21999999999935,84.53000000000065,661.468616,0.005737762109717974,Green
0.0042004308168919645,193.53000000000065,61.98999999999978,788.317514,0.0041916336334048435,Green
0.010782618768761007,374.90999999999985,160.10000000000036,822.858852,0.010724900864430403,Green
-0.012631870720219185,549.9899999999998,189.57999999999993,1031.188608,-0.012712331093958008,Red
0.014443654214122725,322.5100000000002,213.85000000000036,781.021342,0.014340338291942893,Green
-0.00286141782887512,214.97999999999956,43.01000000000022,860.383177,-0.002865519511157341,Red
0.01747159214172187,418.119999999999,261.7399999999998,908.687696,0.017320718673827906,Green
-0.004765578666162779,177.3199999999997,72.63999999999942,661.609852,-0.004776970242218511,Red
-0.011035596572181929,272.9899999999998,167.40999999999985,895.934758,-0.011096940496737265,Red
-0.03216777903015415,608.0,482.60000000000036,1241.904776,-0.03269653217252484,Red
-0.0031377038214474126,705.0,45.5,1271.034018,-0.0031426367354676845,Red
0.018989246344829496,571.8400000000001,274.5,793.92939,0.018811201039495247,Green
-0.021316339682473,398.9599999999991,314.72999999999956,614.534955,-0.021546813981928006,Red
0.026679107056465576,488.9300000000003,386.02000000000044,380.592932,0.02632942550675113,Green
-0.004701890581279314,287.5100000000002,69.86999999999898,581.690557,-0.004712979240894765,Red
0.01490585615173737,243.64000000000124,220.8000000000011,505.915681,0.01479585563210139,Green
-0.002322366234629479,228.0699999999997,34.94000000000051,477.866959,-0.0023250671095173567,Red
-0.01405635867030844,277.3700000000008,211.0,389.080093,-0.014156084907969633,Red
-0.0033804054054054496,201.8700000000008,50.030000000000655,430.999286,-0.0033861318846140076,Red
-0.0006791298436437649,175.1299999999992,9.989999999999782,361.751015,-0.000679360556778005,Red
0.01537413920126585,267.0,226.0,343.677881,0.01525715462426436,Green
-0.0008133014617337616,160.0,12.150000000001455,191.636316,-0.000813632370798963,Red
-0.008511445063160837,149.36000000000058,127.04999999999927,260.659165,-0.008547874269101854,Red
0.00859838078137848,230.8199999999997,127.19000000000051,648.9242,0.008561625247121599,Green
-0.011109614189742156,237.75,165.75,820.84674,-0.011171786858560698,Red
0.02752808037573701,529.0100000000002,406.47000000000116,1181.627263,0.027155995847660888,Green
-0.00422405271828668,221.0,64.10000000000036,1055.426462,-0.004232999231554179,Red
0.0006002289737871146,9.079999999999927,9.069999999999709,4.635181,0.0006000489084267393,Green
