open time,open,high,low,close,volume,close time,quote asset volume,number of trades,taker buy base asset volume,taker buy quote asset volume,ignore,is_interpolated,gk_volatility,target_reg,target_class
2018-01-01 00:00:00,13715.65,13715.65,13400.01,13529.01,443.356199,2018-01-01 00:59:59.999,5993909.836038,5228.0,228.521921,3090541.10576949,0.0,0,0.014089373338796866,0.01768306763561735,0
2018-01-01 01:00:00,13528.99,13595.89,13155.38,13203.06,383.697006,2018-01-01 01:59:59.999,5154521.55513544,4534.0,180.840403,2430449.49295672,0.0,0,0.01768306763561735,0.009958945913395318,1
2018-01-01 02:00:00,13203.0,13418.43,13200.0,13330.18,429.064572,2018-01-01 02:59:59.999,5710192.01852959,4887.0,192.237935,2558504.65764531,0.0,0,0.009958945913395318,0.016478038450664874,1
2018-01-01 03:00:00,13330.26,13611.27,13290.0,13410.03,420.08703,2018-01-01 03:59:59.999,5657448.45730419,4789.0,137.918407,1858041.25745743,0.0,0,0.016478038450664874,0.013840109668908026,1
2018-01-01 04:00:00,13434.98,13623.29,13322.15,13601.01,340.807329,2018-01-01 04:59:59.999,4588046.99615741,4563.0,172.957635,2328057.92021612,0.0,0,0.013840109668908026,0.008583695246487132,0
2018-01-01 05:00:00,13615.2,13699.0,13526.5,13558.99,404.229046,2018-01-01 05:59:59.999,5499054.93688368,5086.0,142.331058,1935710.15985339,0.0,0,0.008583695246487132,0.010240807343288152,1
2018-01-01 06:00:00,13539.0,13800.0,13510.0,13780.41,264.989684,2018-01-01 06:59:59.999,3613407.65944487,4072.0,126.0775,1718752.71521564,0.0,0,0.010240807343288152,0.009725316765973617,0
2018-01-01 07:00:00,13780.0,13818.55,13555.02,13570.35,292.188777,2018-01-01 07:59:59.999,4002026.1321021,4340.0,147.150029,2016274.76674062,0.0,0,0.009725316765973617,0.017174537467542553,0
2018-01-01 08:00:00,13569.98,13735.24,13400.0,13499.99,271.813553,2018-01-01 08:59:59.999,3681944.39646011,3733.0,122.809696,1664736.99401741,0.0,0,0.017174537467542553,0.0095961539989031,1
2018-01-01 09:00:00,13499.97,13670.0,13459.11,13616.99,213.095829,2018-01-01 09:59:59.999,2893104.89463125,3128.0,96.470199,1309920.92142668,0.0,0,0.0095961539989031,0.007832885020651381,0
2018-01-01 10:00:00,13632.0,13657.92,13497.98,13570.01,169.512196,2018-01-01 10:59:59.999,2298368.72853242,2769.0,68.490957,928574.06347967,0.0,0,0.007832885020651381,0.02670973852668252,0
2018-01-01 11:00:00,13573.0,13589.89,13001.13,13220.56,665.334353,2018-01-01 11:59:59.999,8777790.17711175,7570.0,294.897441,3888876.92051748,0.0,0,0.02670973852668252,0.012882502662820856,0
2018-01-01 12:00:00,13220.56,13300.0,13056.23,13172.42,260.492708,2018-01-01 12:59:59.999,3437452.78770231,3618.0,115.16364,1519720.41601646,0.0,0,0.012882502662820856,0.0199360910325703,0
2018-01-01 13:00:00,13150.05,13200.41,12815.7,13017.0,451.901126,2018-01-01 13:59:59.999,5869105.27380765,5719.0,248.601776,3228414.47167738,0.0,0,0.0199360910325703,0.02499194857850252,1
2018-01-01 14:00:00,12999.71,13245.0,12750.0,13211.39,692.467362,2018-01-01 14:59:59.999,8951402.50203648,7132.0,299.429608,3872687.15593985,0.0,0,0.02499194857850252,0.011082348091749843,1
2018-01-01 15:00:00,13211.39,13330.0,13120.38,13247.0,427.071957,2018-01-01 15:59:59.999,5654630.47840924,4888.0,167.119723,2212216.06892992,0.0,0,0.011082348091749843,0.010574358889525067,0
2018-01-01 16:00:00,13247.0,13247.08,12966.42,13018.0,367.393566,2018-01-01 16:59:59.999,4818677.75685736,4004.0,184.967309,2426692.44094398,0.0,0,0.010574358889525067,0.010739393541029483,1
2018-01-01 17:00:00,13018.0,13198.98,13000.0,13022.0,228.572028,2018-01-01 17:59:59.999,2993656.96884031,2978.0,119.944127,1570736.84184925,0.0,0,0.010739393541029483,0.015969507338955136,1
2018-01-01 18:00:00,13007.87,13256.28,12940.0,13135.0,244.366755,2018-01-01 18:59:59.999,3210340.98712073,3267.0,110.34601,1449282.13619055,0.0,0,0.015969507338955136,0.00851806357591173,1
2018-01-01 19:00:00,13135.0,13290.65,13106.61,13240.37,252.004885,2018-01-01 19:59:59.999,3326194.90095603,2929.0,142.196333,1877608.14843591,0.0,0,0.00851806357591173,0.010340100164904753,1
2018-01-01 20:00:00,13222.03,13472.0,13222.03,13399.24,412.026868,2018-01-01 20:59:59.999,5520151.15860527,4245.0,227.898161,3053204.62099915,0.0,0,0.010340100164904753,0.0097769978882913,1
2018-01-01 21:00:00,13399.23,13580.67,13380.82,13481.01,326.923135,2018-01-01 21:59:59.999,4414257.79698157,4392.0,168.279886,2271814.78896251,0.0,0,0.0097769978882913,0.0075191144166237706,0
2018-01-01 22:00:00,13494.99,13599.7,13450.96,13452.0,303.301385,2018-01-01 22:59:59.999,4101906.50022201,3711.0,116.698211,1577965.21046296,0.0,0,0.0075191144166237706,0.006793557605659636,0
2018-01-01 23:00:00,13455.24,13500.0,13355.01,13380.0,345.218495,2018-01-01 23:59:59.999,4632154.5421008,4013.0,150.590981,2020964.16467657,0.0,0,0.006793557605659636,0.017502669758359023,1
2018-01-02 00:00:00,13382.16,13850.0,13382.16,13750.01,466.596114,2018-01-02 00:59:59.999,6380927.53069182,6011.0,254.955599,3489536.73003656,0.0,0,0.017502669758359023,0.00761398304730659,0
2018-01-02 01:00:00,13769.98,13800.0,13590.0,13600.0,517.461925,2018-01-02 01:59:59.999,7084466.00039719,6012.0,216.929534,2972097.52487883,0.0,0,0.00761398304730659,0.01405078887940541,0
2018-01-02 02:00:00,13611.93,13678.33,13398.0,13522.0,714.534781,2018-01-02 02:59:59.999,9670960.18468168,9402.0,281.307918,3805361.90366442,0.0,0,0.01405078887940541,0.014332727045690335,0
2018-01-02 03:00:00,13520.32,13539.98,13231.96,13353.78,666.940106,2018-01-02 03:59:59.999,8917275.59117996,6887.0,348.357917,4655288.84070387,0.0,0,0.014332727045690335,0.029853320437864032,0
2018-01-02 04:00:00,13353.78,13480.84,12890.02,13127.31,992.418927,2018-01-02 04:59:59.999,13072020.20769638,8714.0,504.050135,6649544.59419864,0.0,0,0.029853320437864032,0.008089160758762752,1
