open time,hl_range_pct,gk_avg_6h,gk_lag_6h,hour_cos,gk_avg_3h,gk_lag_1h,trade_intensity,log_return_3h,log_return_6h,atr_lag_3h,target_reg
2018-01-02 00:00:00,3.402470252748909,0.010075083901625,0.0159695073389551,1.0,0.0106051139268807,0.0067935576056596,1.356145067589163,0.0197575228916572,0.04575912824754,279.114350613257,0.0076139830473065
2018-01-02 01:00:00,1.5441176470588236,0.0099244038135241,0.0085180635759117,0.9659258262890684,0.010636736803775,0.017502669758359,1.3377837116154874,0.0109419988639832,0.0267992970042802,267.53377044304983,0.0140507888794054
2018-01-02 02:00:00,2.073140068037272,0.0105428519326075,0.0103401001649047,0.8660254037844387,0.0130558138950236,0.0076139830473065,2.008062578423259,0.0105569339684036,0.0091199997379677,256.834875275589,0.0143327270456903
2018-01-02 03:00:00,2.3066128092570075,0.0113021401255074,0.0097769978882913,0.7071067811865476,0.011999166324134,0.0140507888794054,1.443954258358158,-0.0292400605496514,-0.0094825376579942,275.1547384412148,0.029853320437864
2018-01-02 04:00:00,4.500693592213483,0.0150245077957141,0.0075191144166237,0.5000000000000001,0.0194122787876532,0.0143327270456903,1.7630753667172483,-0.0353749997505018,-0.0244330008865187,269.63530848411585,0.0080891607587627
2018-01-02 05:00:00,1.1717975689130669,0.0152404416545646,0.0067935576056596,0.2588190451025207,0.0174250694141056,0.029853320437864,1.016439627177259,-0.0266080866737078,-0.0160511527053042,270.5294067816266,0.0153706872431471
2018-01-02 06:00:00,2.241705253025426,0.0148851112353626,0.017502669758359,6.123233995736766e-17,0.0177710561465912,0.0080891607587627,1.0191368350618937,-0.0073507194630225,-0.0365907800126738,273.62600142499275,0.0104393076965705
2018-01-02 07:00:00,1.5737090609308215,0.0153559986769066,0.0076139830473065,-0.2588190451025206,0.01129971856616,0.0153706872431471,0.8056231232490648,0.0162971097687791,-0.0190778899817227,299.5357792062794,0.0072237184751819
2018-01-02 08:00:00,1.0311351641779387,0.014218153609536,0.0140507888794054,-0.4999999999999998,0.0110112378049664,0.0104393076965705,0.8765715334495733,0.0120138658373039,-0.014594220836404,287.79191787270184,0.0090819662641871
2018-01-02 09:00:00,1.4671424323520574,0.0133430268126188,0.0143327270456903,-0.7071067811865475,0.0089149974786464,0.0072237184751819,0.8684797146678556,0.0146790225056539,0.0073283030426313,288.54230153718333,0.0103093872713812
2018-01-02 10:00:00,1.5905604719764033,0.010085704618205,0.029853320437864,-0.8660254037844387,0.00887169067025,0.0090819662641871,0.9940793896344772,0.0161323797519657,0.0324294895207451,282.3035577961452,0.0083019125011285
2018-01-02 11:00:00,1.274647887323949,0.0101211632419327,0.0080891607587627,-0.9659258262890682,0.0092310886788989,0.0103093872713812,0.9234828058240344,0.0122249023875822,0.0242387682248862,270.8884797720649,0.0072978598623581
2018-01-02 12:00:00,1.034469465580952,0.0087756920118012,0.0153706872431471,-1.0,0.0086363865449559,0.0083019125011285,1.06160486560722,0.0027497099843206,0.0174287324899746,265.13879231895515,0.0120823800302083
2018-01-02 13:00:00,2.9180712846322185,0.0090495374007408,0.0104393076965705,-0.9659258262890684,0.0092273841312316,0.0072978598623581,1.8146448191395752,0.022241954073384,0.0383743338253499,261.2967940680086,0.0101583957381774
2018-01-02 14:00:00,1.9383214777085025,0.0095386502779067,0.0072237184751819,-0.8660254037844388,0.0098462118769145,0.0120823800302083,1.4470000236871403,0.012845240402758,0.0250701427903403,254.39938829065736,0.0118589904369479
2018-01-02 15:00:00,1.679251250727715,0.0100014876400335,0.0090819662641871,-0.7071067811865479,0.0113665887351111,0.0101583957381774,1.2722450789009092,0.0147903268161824,0.0175400368005031,245.58332268861255,0.0124924209358236
2018-01-02 16:00:00,1.8976425347424024,0.0103653265841073,0.0103093872713812,-0.5000000000000004,0.0115032690369829,0.0118589904369479,1.4254196208122862,-0.0200305367533182,0.0022114173200657,257.7232602160285,0.0130128693744355
2018-01-02 17:00:00,2.152757619738749,0.0111504860629918,0.0083019125011285,-0.2588190451025206,0.0124547602490689,0.0124924209358236,1.2142385708628505,0.00842435496309,0.0212695953658479,258.2654726200186,0.0351829294591326
2018-01-02 18:00:00,6.821467764060355,0.0157979976624542,0.0072978598623581,-1.8369701987210294e-16,0.0202294065897972,0.0130128693744355,2.3866515102305943,0.0629828959019858,0.0777732227181682,256.11940816586605,0.0464554438063544
2018-01-02 19:00:00,6.743411786665761,0.0215268416251452,0.0120823800302083,0.2588190451025203,0.0315504142133075,0.0351829294591326,2.8595750890804945,0.0807372070392325,0.0607066702859142,256.25275934523944,0.0212513733693184
2018-01-02 20:00:00,3.0527421869703715,0.0233756712303354,0.0101583957381774,0.5000000000000001,0.0342965822116018,0.0464554438063544,1.4881618697454393,0.0680926115123994,0.0765169664754895,259.28347891490944,0.019071805385049
2018-01-02 21:00:00,2.72923416187961,0.0245778070550189,0.0118589904369479,0.7071067811865474,0.0289262075202406,0.0212513733693184,0.9617498947271268,0.0076796267073578,0.0706625226093437,314.2492649395477,0.0156267112919154
2018-01-02 22:00:00,2.297235938475508,0.0251001887810342,0.0124924209358236,0.8660254037844384,0.0186499633487609,0.019071805385049,0.8575033819500495,0.0045515711921666,0.085288778231399,364.8570858461972,0.0127222270682424
2018-01-02 23:00:00,1.956237466022401,0.0250517483966687,0.0130128693744355,0.965925826289068,0.0158069145817356,0.0156267112919154,0.784164566078502,-0.0051580156707885,0.0629345958416109,371.20434362045074,0.0122156900381445
