Volume,Price_Range,size,return,log_return,Candle_Color
755.9901,1020.3899999999994,825.1399999999994,0.0088178592801573,0.008779209001317994,Green(UP)
586.53456,829.9499999999971,793.3899999999994,-0.008404454480576655,-0.008439971046375885,Red(DOWN)
276.78045,510.5599999999977,491.16999999999825,0.005247108839504065,0.005233390729935724,Green(UP)
220.99302,370.6900000000023,260.8600000000006,-0.0027721896855329936,-0.002776039319615852,Red(DOWN)
279.46909,338.0399999999936,284.1299999999901,-0.0030278765413257794,-0.0030324698337921515,Red(DOWN)
209.1794,389.79000000000815,238.11000000000058,0.002545163531914386,0.0025419300884785127,Green(UP)
272.27846,223.63999999999942,34.44000000000233,-0.00036719541811768556,-0.0003672628508630726,Red(DOWN)
197.93458,135.91999999999825,73.47000000000116,-0.0007836167255614791,-0.0007839239136367362,Red(DOWN)
481.71173,452.0200000000041,255.64999999999418,-0.0027288512427560466,-0.0027325813447829934,Red(DOWN)
798.49773,598.2899999999936,15.410000000003492,-0.00016493901698276224,-0.00016495262091834116,Red(DOWN)
265.55192,252.75,86.84000000001106,-0.000929634364870045,-0.0009300667428859538,Red(DOWN)
321.72225,505.08000000000175,118.39999999999418,0.001268667847327763,0.0012678637682752643,Green(UP)
499.35613,564.929999999993,376.1100000000006,0.004024949528945752,0.004016871089210119,Green(UP)
340.36387,458.50999999999476,211.00999999999476,0.002249076030622168,0.002246550644940533,Green(UP)
751.90697,779.3700000000099,144.11999999999534,0.001532673478336049,0.0015315001330909032,Green(UP)
486.08395,600.0,257.0500000000029,0.0027294671704191265,0.002725748939225309,Green(UP)
580.27384,570.0,342.4499999999971,-0.003626382912572637,-0.0036329741788821727,Red(DOWN)
303.86795,428.2300000000105,53.35000000000582,0.00056700729616705,0.0005668466082679731,Green(UP)
291.78831,444.0,196.22000000000116,0.002084257451151357,0.0020820883999744075,Green(UP)
545.12372,675.4100000000035,287.0100000000093,0.003042291895934869,0.00303767349059876,Green(UP)
424.42468,272.86999999999534,159.14999999999418,0.0016818652757751183,0.0016804525241888898,Green(UP)
636.81156,463.27999999999884,192.25,0.0020282481959668615,0.0020261940776335075,Green(UP)
409.77402,311.5100000000093,175.5,-0.0018477869934326176,-0.0018494962577145385,Red(DOWN)
436.90784,410.2899999999936,211.20000000001164,-0.0022277778369649693,-0.0022302630256619336,Red(DOWN)
1181.76573,989.6999999999971,536.8099999999977,0.005675017427518519,0.0056589751808536,Green(UP)
1143.36617,816.3099999999977,265.86999999999534,-0.002794848530814925,-0.002798761412277894,Red(DOWN)
455.65,431.3399999999965,371.63000000000466,0.003917555398205435,0.003909901760577229,Green(UP)
290.28586,385.49000000000524,224.0399999999936,-0.002352512018507537,-0.002355283522423497,Red(DOWN)
925.61919,1015.1600000000035,697.7300000000105,0.007343727009081438,0.007316893139546827,Green(UP)
702.11721,404.7899999999936,111.59000000001106,-0.0011659413882237,-0.0011666216266809188,Red(DOWN)
517.46772,316.97000000000116,21.489999999990687,-0.00022479907209962843,-0.00022482434319836089,Red(DOWN)
452.62773,374.6499999999942,247.0,0.002584357834161653,0.002581024123885632,Green(UP)
844.76163,571.4899999999907,327.99000000000524,0.0034229087868226232,0.003417063968264304,Green(UP)
976.02528,763.0,605.5099999999948,0.006297555902236035,0.006277809157853957,Green(UP)
826.74686,269.59999999999127,47.50999999999476,-0.000491031466838372,-0.0004911520622681388,Red(DOWN)
533.66374,406.91999999999825,24.99000000000524,0.0002584067502172027,0.0002583733689433832,Green(UP)
677.3051,285.58000000000175,117.00999999999476,0.001209618227492115,0.0012088872287908162,Green(UP)
903.27447,552.0500000000029,391.8399999999965,-0.004045843671053793,-0.004054050239032181,Red(DOWN)
3007.10456,1516.3099999999977,798.320000000007,0.008276333668781059,0.008242272623949507,Green(UP)
2007.047,1158.3800000000047,801.4700000000012,-0.008240787657542215,-0.00827493065432578,Red(DOWN)
1725.0299,1609.9600000000064,774.7300000000105,0.00803203483157599,0.00799994973106556,Green(UP)
1272.75775,1266.3999999999942,472.179999999993,-0.004856332552536574,-0.004868162852253992,Red(DOWN)
839.9046,950.0,562.1699999999983,0.0058100880375561124,0.005793274569771397,Green(UP)
714.40965,577.0,2.0,-2.0550815281668444e-05,-2.0551026452525585e-05,Red(DOWN)
718.8468,539.5,11.279999999998836,-0.00011590898021263991,-0.00011591569817759815,Red(DOWN)
394.14727,315.6100000000006,93.78000000001339,-0.0009637592406507582,-0.000964223955193649,Red(DOWN)
418.78092,546.0299999999988,301.65000000000873,-0.00310298994915179,-0.0031078142047934604,Red(DOWN)
441.78434,319.6100000000006,73.75,0.0007610072082602767,0.0007607177890987813,Green(UP)
315.00973,284.40000000000873,158.9699999999866,-0.0016391230006270738,-0.001640467832496808,Red(DOWN)
342.35914,350.0,159.63999999999942,0.001648733607550789,0.001647375938381473,Green(UP)
388.64008,485.4600000000064,18.619999999995343,-0.00019198752142970843,-0.00019200595339304987,Red(DOWN)
255.7492,256.91999999999825,95.44999999999709,0.0009843570251070039,0.0009838728634297188,Green(UP)
265.52213,299.66999999999825,248.88999999999942,-0.002564229366087548,-0.0025675226332080264,Red(DOWN)
316.46331,270.1999999999971,48.15000000000873,-0.0004973480451950315,-0.0004974717637565985,Red(DOWN)
382.40263,406.5599999999977,225.86000000000058,-0.002334099964501762,-0.002336828222001152,Red(DOWN)
546.86929,365.18000000000757,235.49000000000524,-0.0024393126584779474,-0.0024422926286398663,Red(DOWN)
543.39121,429.83000000000175,174.02999999999884,-0.0018070900481807488,-0.0018087248051341337,Red(DOWN)
